Class,Number Samples
m.016k22,55
m.014v1q,83
m.01_rn8,84
m.014zxv,113
m.016q2n,105
m.01ft2l,101
m.01kgrk,81
m.01gw4w,99
m.01j636m,93
m.01l443l,88
m.01lqf49,116
m.01lmplq,109
m.01lkr0c,67
m.01jj7_,111
m.019nxc,92
m.01jbdk,72
m.01m0w5f,73
m.017hjk,60
m.01kwq5d,94
m.016z68,102
m.012wv,47
m.01lhk3r,93
m.013s8s,119
m.01ls5s,62
m.01gwlg,66
m.012vq0,78
m.016szr,91
m.01dqbx,81
m.014k1v,83
m.018n6m,82
m.01b0k1,102
m.015tm5,107
m.01341q,83
m.019_qp,62
m.01krb3d,95
m.01b8g6,88
m.01jc89,69
m.01dhxm,27
m.01kwfcd,56
m.019s2q,87
m.01_9l1,70
m.01ms3fy,89
m.0179n7,84
m.018y81,90
m.014bmy,79
m.01m190,47
m.01_v0n,101
m.0178d6,57
m.018cx3,4
m.01lmtl,61
m.01lj58,40
m.018z_c,128
m.0129rp,66
m.01kfcf,70
m.01fqlg,105
m.015ybz,99
m.011zwl,84
m.01kcph,88
m.01cstl,45
m.01ckhj,102
m.01f0wg,90
m.01m8s3l,56
m.01_5jb,97
m.016tb7,117
m.01k08f,90
m.013pk3,97
m.01m538j,64
m.01m5m5b,113
m.01d2fg,63
m.019x_p,94
m.01c55_,98
m.01c5bb,103
m.016gr2,89
m.011ybj,97
m.016v0s,87
m.01mf3tw,79
m.013tjc,83
m.01cqvl,38
m.01fgfs,118
m.012wg,83
m.014fd7,94
m.019x62,89
m.01dwmw,68
m.013sy6,64
m.01__sx,97
m.01lrhc4,73
m.01mgv1d,103
m.01kph_c,73
m.0170cc,23
m.015484,15
m.012xqq,65
m.016n6x,2
m.01mm7qf,50
m.01gx5f,95
m.01m98bv,90
m.015gd3,75
m.018q9b,91
m.015kt_,66
m.01mpyhv,53
m.0151ns,89
m.016c8_,115
m.018gn4,90
m.01m8qmz,94
m.01ggdn,113
m.01kb1b,94
m.01f5fg,109
m.01k99tm,93
m.012x2b,113
m.01dmdw,102
m.01d_h,9
m.012xyk,61
m.01g7hs,81
m.01963w,49
m.01cqnm,108
m.01kv3z4,82
m.01l264f,37
m.01gcq,57
m.01m8062,116
m.01kvv5t,87
m.01939l,108
m.015phm,61
m.01lfns,47
m.017n7f,86
m.01lbvm,32
m.01lnwh9,49
m.01l57h,60
m.016z1t,88
m.013zr7,60
m.01_vfj,84
m.01bdnk,102
m.01djwt,98
m.017f4y,83
m.01_3ds,74
m.013ppl,70
m.01jw4r,110
m.01lfk3,99
m.01lp1z,98
m.016zm5,81
m.01k_wx,78
m.0193rv,88
m.01d6l0,97
m.01558d,85
m.01mdf3n,59
m.013fcz,145
m.01m_kr5,73
m.01ljnj5,87
m.01llmh3,56
m.01lmdqz,78
m.013wq7,32
m.01_j1c,97
m.019tyn,88
m.0139q5,115
m.01kgg9,105
m.01dwcv,102
m.01f27t,61
m.014lhk,69
m.01lgkxz,94
m.01dls6,93
m.01d3fw,72
m.01lql6g,51
m.01dz6t,107
m.01jg3g,123
m.01dw_f,103
m.01h_mc,68
m.0166k8,51
m.01k5zk,120
m.018db8,96
m.01j5ws,103
m.01m_kh,97
m.013t9y,83
m.01kss8,94
m.01fmdk,80
m.01_gv9,49
m.01jj8lp,84
m.014w3g,115
m.01bdny,88
m.011hww,62
m.014x0w,88
m.01b5g7,47
m.01gtps,70
m.01jzs84,48
m.01kbfmj,102
m.01j5sv,110
m.01lhqh,101
m.013qyh,125
m.01hxrf,121
m.01gbb4,101
m.016g29,79
m.01h1t3,102
m.01lxh38,4
m.017_dr,90
m.016t00,101
m.01b2hq,101
m.01cvp9,76
m.01_xw2,93
m.0154nf,78
m.012qfw,100
m.01k49p,81
m.013v5j,105
m.016mpq,88
m.01blfj,10
m.01m65sp,99
m.018fzs,103
m.01j_km,78
m.01_rmh,59
m.01drnc,47
m.01g85z,94
m.018p4y,99
m.013t2l,66
m.016jkb,49
m.01kwlwp,92
m.016lv3,84
m.01f9h6,104
m.0154r3,90
m.01l_psy,77
m.01dhmh,26
m.01_3th,107
m.01_xx4,101
m.016hd3,35
m.019xyd,92
m.01bslk,105
m.01mg66b,31
m.01lv4r7,63
m.01gz0m,88
m.01hhfz,71
m.01794d,97
m.012l1m,100
m.0165pv,92
m.016srn,104
m.01mst9t,94
m.01fyzk,106
m.01ld7zl,60
m.01kx4h_,88
m.01jpwnn,46
m.01bpnd,104
m.01l3scl,73
m.016nhj,76
m.01jn5vb,59
m.01mr1m,54
m.013bt3,98
m.01b2vs,23
m.01l1n9,50
m.019q8r,43
m.014n_k,103
m.01mq1q,92
m.018y1m,69
m.01mmqhf,82
m.01jtm3,97
m.01cb5n,72
m.01mq3j6,69
m.013w7j,107
m.01h_3z,111
m.012gr9,117
m.01jz79,122
m.01jrnp8,77
m.018qpb,107
m.01fv3q,26
m.01jj6sg,50
m.01htr1,91
m.01m5_40,68
m.01k7jy,101
m.018gb6,71
m.01fdkr,60
m.017j1w,130
m.01_d_4,56
m.01l_6n8,91
m.019n7x,115
m.01jqtg9,77
m.013vdl,114
m.01mj8qq,88
m.015myc,112
m.01mbvfd,75
m.01hlv44,32
m.01gjbw,111
m.015zj4,98
m.013w9d,100
m.016xy0,105
m.015j6h,101
m.01lcgl6,87
m.011z7j,87
m.01kxfvq,92
m.01gwgv,104
m.01b1g9,123
m.01lrjtg,106
m.016883,100
m.01m0gv,93
m.01f0q9,64
m.01lj5gm,102
m.01jnsv,53
m.017176,78
m.01lx0r,102
m.01lyt7d,103
m.01k3lt,77
m.01l6b7p,75
m.012wgv,82
m.01jj9g,91
m.014v6f,100
m.01m_5f,73
m.014y7g,73
m.01k6b0,76
m.01jsh6l,88
m.01ghp7,102
m.01lf8qx,91
m.015fxn,126
m.01639k,111
m.016hzm,64
m.0150rl,125
m.012bng,83
m.01knwmf,88
m.01fwmj,94
m.01g65g,113
m.01m0ygv,80
m.0181bf,78
m.0173r5,125
m.01lz60,48
m.01kb2j,119
m.01lbp,91
m.01gpn5,36
m.014c40,44
m.01gf9s,84
m.016dm4,85
m.01kkbp,121
m.01l5rfm,73
m.016nvy,94
m.0169jp,82
m.01_csg,95
m.01h4cm,119
m.01c2rd,82
m.01g59w,36
m.01kgz7q,56
m.01jwt1r,48
m.014488,112
m.01l1rw,85
m.01_8ml,9
m.01hpkw,77
m.01jf6n,100
m.01dj5t,45
m.015ky1,68
m.01gtvy,21
m.016hby,87
m.01kxl7,58
m.01791s,75
m.017vkx,84
m.01kx016,83
m.018dqg,84
m.01j0yg,76
m.01h1b,111
m.01kgfy,93
m.01_wpx,81
m.017hnf,73
m.01d322,68
m.01jgn3,99
m.01dgj3,8
m.01jxbk2,86
m.016gnp,84
m.01239,95
m.01fyzy,113
m.0133sq,97
m.01lfx5,120
m.01m3mb,121
m.014jgj,61
m.01c06w,49
m.01l71w,74
m.01jf68,93
m.0157r6,55
m.01m49_z,62
m.01l0st,54
m.01gcrk,113
m.01bjnp,93
m.01741h,101
m.017j1f,48
m.01m2b2,87
m.012mk7,106
m.01lbkk,78
m.01_njt,122
m.012v6b,62
m.01lpyry,93
m.01l6rgq,74
m.01_v_j,102
m.01fcxq,104
m.01d7h6,61
m.01lc5,98
m.0151p8,99
m.01l64q,94
m.019zdz,43
m.0197p7,95
m.018s3x,20
m.01h5j3,81
m.01h1vq,49
m.01cx0h,88
m.01j_66z,88
m.01mbwlb,116
m.01_df6,104
m.01hkyc,92
m.0169dl,118
m.016b6z,105
m.01j5sd,116
m.01_cmx,37
m.01cdx9,43
m.010bk0,99
m.01jdsj,24
m.01_t7_,97
m.01ct2m,83
m.012nry,120
m.01m1p3j,40
m.01k4c7,51
m.01jcv6,99
